x,y,z,vx,vy,vz,mass
-0.157258,0.453994,0.000000,-8.639460,-2.873710,0.000000,1.000000e-12
-0.156585,0.454539,0.000000,-8.641578,-2.858426,0.000000,1.000000e-12
-0.155911,0.455082,0.000000,-8.643657,-2.843151,0.000000,1.000000e-12
-0.155237,0.455624,0.000000,-8.645708,-2.827903,0.000000,1.000000e-12
-0.154564,0.456164,0.000000,-8.647725,-2.812696,0.000000,1.000000e-12
-0.153890,0.456702,0.000000,-8.649711,-2.797514,0.000000,1.000000e-12
-0.153216,0.457240,0.000000,-8.651664,-2.782350,0.000000,1.000000e-12
-0.152542,0.457776,0.000000,-8.653588,-2.767197,0.000000,1.000000e-12
-0.151867,0.458311,0.000000,-8.655479,-2.752077,0.000000,1.000000e-12
-0.151193,0.458844,0.000000,-8.657341,-2.736987,0.000000,1.000000e-12
-0.150519,0.459376,0.000000,-8.659169,-2.721929,0.000000,1.000000e-12
-0.149844,0.459907,0.000000,-8.660968,-2.706875,0.000000,1.000000e-12
-0.149169,0.460436,0.000000,-8.662733,-2.691864,0.000000,1.000000e-12
-0.148494,0.460964,0.000000,-8.664473,-2.676875,0.000000,1.000000e-12
-0.147819,0.461491,0.000000,-8.666176,-2.661900,0.000000,1.000000e-12
-0.147144,0.462016,0.000000,-8.667850,-2.646962,0.000000,1.000000e-12
-0.146469,0.462540,0.000000,-8.669496,-2.632024,0.000000,1.000000e-12
-0.145793,0.463063,0.000000,-8.671109,-2.617129,0.000000,1.000000e-12
-0.145118,0.463584,0.000000,-8.672695,-2.602272,0.000000,1.000000e-12
-0.144443,0.464104,0.000000,-8.674253,-2.587427,0.000000,1.000000e-12
-0.143767,0.464623,0.000000,-8.675778,-2.572591,0.000000,1.000000e-12
-0.143091,0.465140,0.000000,-8.677269,-2.557790,0.000000,1.000000e-12
-0.142415,0.465656,0.000000,-8.678741,-2.543031,0.000000,1.000000e-12
-0.141739,0.466171,0.000000,-8.680172,-2.528269,0.000000,1.000000e-12
-0.141063,0.466684,0.000000,-8.681581,-2.513561,0.000000,1.000000e-12
-0.140387,0.467196,0.000000,-8.682960,-2.498862,0.000000,1.000000e-12
-0.139711,0.467706,0.000000,-8.684308,-2.484186,0.000000,1.000000e-12
-0.139034,0.468215,0.000000,-8.685631,-2.469545,0.000000,1.000000e-12
-0.138358,0.468723,0.000000,-8.686920,-2.454922,0.000000,1.000000e-12
-0.137682,0.469231,0.000000,-8.688184,-2.440304,0.000000,1.000000e-12
-0.137005,0.469736,0.000000,-8.689420,-2.425735,0.000000,1.000000e-12
-0.136329,0.470240,0.000000,-8.690624,-2.411196,0.000000,1.000000e-12
-0.135652,0.470743,0.000000,-8.691806,-2.396670,0.000000,1.000000e-12
-0.134975,0.471244,0.000000,-8.692954,-2.382161,0.000000,1.000000e-12
-0.134299,0.471745,0.000000,-8.694077,-2.367682,0.000000,1.000000e-12
-0.133622,0.472244,0.000000,-8.695172,-2.353225,0.000000,1.000000e-12
-0.132945,0.472741,0.000000,-8.696242,-2.338809,0.000000,1.000000e-12
-0.132268,0.473238,0.000000,-8.697281,-2.324406,0.000000,1.000000e-12
-0.131591,0.473734,0.000000,-8.698290,-2.310010,0.000000,1.000000e-12
-0.130913,0.474228,0.000000,-8.699275,-2.295642,0.000000,1.000000e-12
-0.130236,0.474720,0.000000,-8.700238,-2.281322,0.000000,1.000000e-12
-0.129560,0.475211,0.000000,-8.701165,-2.267027,0.000000,1.000000e-12
-0.128882,0.475702,0.000000,-8.702072,-2.252741,0.000000,1.000000e-12
-0.128205,0.476190,0.000000,-8.702949,-2.238486,0.000000,1.000000e-12
-0.127528,0.476678,0.000000,-8.703801,-2.224259,0.000000,1.000000e-12
-0.126851,0.477164,0.000000,-8.704626,-2.210050,0.000000,1.000000e-12
-0.126173,0.477649,0.000000,-8.705424,-2.195870,0.000000,1.000000e-12
-0.125496,0.478133,0.000000,-8.706196,-2.181696,0.000000,1.000000e-12
-0.124819,0.478616,0.000000,-8.706939,-2.167570,0.000000,1.000000e-12
-0.124141,0.479097,0.000000,-8.707661,-2.153458,0.000000,1.000000e-12
-0.123464,0.479577,0.000000,-8.708358,-2.139372,0.000000,1.000000e-12
-0.122786,0.480056,0.000000,-8.709023,-2.125310,0.000000,1.000000e-12
-0.122109,0.480534,0.000000,-8.709666,-2.111270,0.000000,1.000000e-12
